ID,gender,age,ethnicity,highest.qual,income,plate.size,kcal.consumed,g.consumed,g.served, meal.duration ,n.bites
1,1,20,2,5,13,0,1573.01,1046.37,1047.13,10.62,31
2,2,26,3,5,2,0,540.72,417.22,423.27,,
3,2,19,1,4,13,1,439.61,292.43,293.13,10.18,46
4,2,36,1,6,9,1,511.92,340.53,374.2,16.78,33
5,2,30,2,3,7,1,944.3,628.15,630.31,18.92,45
6,1,24,1,5,,0,980.05,651.93,656.33,8.22,38
7,1,24,1,5,6,1,900.81,599.22,624.66,6.05,26
8,2,39,5,6,11,0,601.88,400.37,401.12,7.8,50
9,3,43,5,6,3,0,249.46,165.94,166.97,5.78,19
10,2,37,1,4,12,1,259.67,172.73,173.27,4.53,25
11,2,50,1,6,11,0,947.86,630.52,631.35,9.67,33
12,2,27,1,5,14,1,703,467.64,478.8,16.92,53
13,2,26,1,6,6,0,395.61,263.16,265.14,9.95,25
14,2,57,1,5,13,1,480.48,319.62,320.02,6.27,28
15,1,20,1,4,,1,991.31,659.42,659.73,14.43,47
16,1,48,1,6,12,0,839.01,558.11,558.67,20.85,39
17,2,19,1,4,13,0,643.37,427.97,428.44,15,82
18,2,42,1,6,7,1,547.23,364.02,364.4,9.27,32
19,1,18,1,4,,1,613.98,408.42,408.77,8.93,62
20,1,34,3,6,12,1,333.67,221.96,232.52,9.47,59
21,1,60,1,2,14,0,622.55,414.12,415.14,8.55,38
22,1,34,1,5,10,0,1549.56,1030.77,1031.87,12.07,55
23,2,22,1,4,13,0,720.89,556.24,564.55,25.58,99
24,2,32,1,6,13,0,274.17,182.38,182.89,7.95,25
25,2,49,1,3,9,1,333.3,221.71,325.92,7.98,25
26,1,29,,,9,1,918.91,611.26,617.96,24.5,45
27,2,57,1,5,15,0,606.22,403.26,403.43,15.18,73
28,2,33,1,3,11,0,360.51,239.81,240.13,6.57,23
29,2,25,1,4,13,1,634.06,421.78,422.06,8.9,51
30,1,57,1,5,10,1,631.22,419.89,484.03,9.6,31
31,2,32,1,6,11,1,686.69,456.79,531.86,15.12,56
32,2,25,1,5,12,0,687.61,457.4,457.96,15.93,71
33,2,27,1,6,12,0,413.15,274.83,275.19,5.12,24
34,2,42,1,5,7,0,276.7,184.06,184.1,4.92,40
35,2,57,1,5,10,0,149.83,99.67,144.15,4.37,9
36,1,60,1,6,12,1,626.43,416.7,421.76,9.3,27
37,2,43,1,6,14,1,669.89,445.61,445.9,11.75,61
38,2,30,1,6,13,1,644.84,428.95,498.67,8.38,46
39,1,35,1,5,13,1,1250.08,831.56,831.56,13.43,67
40,2,28,4,6,11,1,499.67,332.38,378.7,12.52,28
41,2,25,1,5,5,0,760.76,506.06,515.15,9.7,45
42,1,18,2,4,1,0,910.32,605.55,605.74,10.18,88
43,1,38,1,6,11,1,451.88,300.59,300.8,2.88,13
44,2,28,1,5,4,1,350.51,233.16,233.33,4.28,21
45,2,24,1,4,13,0,546.3,363.4,364.41,,
46,2,33,1,6,13,1,549.38,365.45,366.16,7.08,31
47,2,25,1,5,14,0,628.98,418.4,419.15,15.37,24
48,2,43,1,6,11,0,605.05,402.48,402.48,7.12,25
49,2,33,4,2,8,0,702.7,467.44,469.43,11.6,39
50,1,20,1,4,10,0,685.82,456.21,456.79,15.88,36
51,2,33,1,2,9,1,461.56,307.03,311.36,6.5,27
52,2,23,1,5,3,1,493.83,328.5,331.06,10.17,67
53,2,61,1,4,12,0,217.84,144.91,144.99,2.92,17
54,1,29,5,6,8,1,1465.93,975.14,976.37,8.05,83
55,2,28,1,4,9,1,694.61,462.06,463.2,,
56,2,34,1,5,9,0,515.8,343.11,344.79,12.12,38
57,2,43,1,5,13,1,389.26,258.94,259.06,3.28,19
58,2,48,1,6,15,0,242.68,161.43,195.88,1.78,9
59,2,39,1,6,13,0,403.15,268.18,270.1,3.12,15
60,1,25,3,6,11,0,844.51,561.77,567.26,6.8,51
61,2,21,1,5,8,1,717.74,477.44,477.81,11.25,69
62,2,46,1,6,9,1,519.04,345.27,346.09,3.12,25
